tweet_id,tweet_class,text
975080433271627776,2,"The walking dead is real
Sinu sou eu 
pic.twitter.com/nxD9JbYdBQ"
975080415445778433,2,"Nop, Fear the Walking Dead"
975080402485481478,2,Novo teaser de Fear The Walking Dead destacando a Madison http://HospicioNerd.com.br/novo-teaser-de-fear-the-walking-dead-destacando-a-madison/ …pic.twitter.com/eprXO6z1vL
975080394398883846,2,"#FreeAugmentedRealityApps, #ArApps The Walking Dead: Our World AR Game Shows Off New Gameplay Footage https://goo.gl/CeNoU8 pic.twitter.com/kOGFrrfzf3"
975080083135311873,2,The Walking Dead
975080036867850241,2,Me gustó un video de @YouTube http://youtu.be/x1Pqy2Tytgw?a  Why People Stopped Watching The Walking Dead
975079755908288512,2,I should’ve taken some pics out in the concourse. Was like a real life Walking Dead episode.
975079744520761347,2,The Walking Dead https://twitter.com/bbcturkce/status/975070275225243649 …
975079659447578624,-1,I liked a @YouTube video http://youtu.be/x1Pqy2Tytgw?a  Why People Stopped Watching The Walking Dead
975079531030765568,2,assistindo The Walking Dead
975079354739937280,2,The Walking Dead: Season 33 cap 155. Catalufonia harrasing.
975079123868557312,2,"Saturday is the best day 

22 - Urban Decay Podcast - Lost

#np #SoundCloud #storytelling
#storytime #rpg #roleplaying #palladium #deadreign #zombies #Zombie #WalkingDead #undead #ZombieApocalypse #horror #zombiepodcasthttps://soundcloud.com/urbandecaypodcast/22-urban-decay-podcast-lost …"
975079028439711744,2,"""Young people were walking away from the party... Now, it's a dead sprint"" https://twitter.com/DearAuntCrabby/status/975067868680343552 …"
975079026581757958,-1,"The Walking Dead gotta be the dumbest show ever, nigga it’s a zombie apocalypse and the zombies not even a real threat half the time"
975078751724810241,2,Dead man walking! The mudbugs are spot on today! #crawfish #jay4food tbeauxscrawfish  #eat… https://www.instagram.com/p/Bgb0VLOHtG2/ 
975078646812733440,0,watching The Walking Dead Season 8 Series
975078443569336327,2,No problem! Good luck 
975078368776421377,1,The walking dead is pretty gord
975078295694905344,2,"NewGame InThe Making
-----------------------------------------------
Check out Zombie Apocalypse Roleplay on Roblox https://www.roblox.com/games/1519351277/view?rbxp=460223684 …
RP: simulation game. Run from the walking dead, hide in a home and survive. Don't get bitten, create a family and outrun the dead"
975078260978544640,2,"The Walking Dead Season 8 Episode 12 Online Watch Free [AMC Original Network] on 18 March 2018!
https://alltoptv360.blogspot.com/2018/03/the-walking-dead-season-8-episode-12-online-watch-free-abcnetwork-2018.html …"
975077943490891777,2,at least better than the walking dead aka 7 episodes just for them to talk across a forest or finish a conversation pic.twitter.com/XP7kMEbOj0
975077865694769152,1,@danaygarcia1 good luck with Fear The Walking Dead season 4. Have a lovely St Patrick's day! 
975077733087657984,0,ay it was so sad what happened here  how it is the walking dead and all but yeah the entire population that I stole was born somewhere else
975077695393554432,2,"Telltale games are cool, should try The Walking Dead,The Wolf Among Us,Tales from the Borderlands or Life is Strange. All great games!"
975077328756895744,2,$60 is a lot to pay on a fixed income with 5 kids. How did you come up with the price? I really want to sign up but geez lower the price or something
975077265045360641,0,I am not making Rick Grimes mistake when meeting Negan in the LEGO Walking Dead version ..... https://fb.me/CKTJa5eZ 
975077228563197952,2,I liked a @YouTube video http://youtu.be/CzP5Jc_042w?a  The Walking Dead - The journey so far (VOSTFR)
975077183680122880,0,@AMCTalkingDead why does it never rain in the walking dead?
975077095717076992,0,"|•| Yeah, it’s very disappointing. That’s why I’m doing The Walking Dead Crossovers. Because there is literally no one around to RP with. I mean there are some OC’s but besides your accounts I haven’t seen any other cannon characters."
975076847556939784,1,Going to get a case of The Walking Dead season 4 trading cards can't wait
975076712399618048,1,//finally catching up on The Walking Dead and I’m ready to sob
975076693307084800,1,AMAZING !!! 
975076627666341888,2,That's really beautiful.
975076538440978439,0,"|| I'm an avid comic book reader, so I may read the Walking Dead comics first, as I've heard good things about them. I also wouldn't want to watch the show first, and spoil the books.||"
975076355506360320,2,yo when i laugh i be sounding like the walking dead Lmfao
975076278985510916,2,Fear the Walking Dead: Nick and Ofelia have it out in deleted scene http://thericktatorship.com/fear-the-walking-dead-nick-and-ofelia-have-it-out-in-deleted-scene/ …
975076027042066433,0,Favorite walking dead episode? — the ones where carl is alive https://curiouscat.me/chandIerriggs/post/358545793?1521311219 …
975075814789255168,2,So just type that then it will show up after i tweet it
975075754202480641,2,"~le han dado ganas de cantar, así que…~

Tonight I'm yours!
I'm your dead girl walking
Get on all fours
Kiss this dead girl walking
Let's go, you know the drill
I'm hot, and pissed and on the pill
Bow down to the will of a dead girl walking"
975075608031125506,2,Thank u
975075575558803456,2,"Trump #wannabe #TinPotDictator has drastically accelerated the demise of the GOP, with their own aiding & abetting. The Republican party is dead man walking... #treason"
975075543346503682,2,"Larger compensation for creating successful characters for the big two would have a lot of those top talent guys sticking around and not fleeing to image.  Walking Dead is an anamoly regarding high sales from a non big two book, image of the exact same stories had a Marvel logo."
975075260210008064,-1,"Series I once loved but had to bail on:
Lost
Once Upon a Time
Under the Dome
Fringe
Grimm

Pending...this season of Walking Dead https://twitter.com/bimadew/status/974771138462212096 …"
975075216769667073,2,I've just watched episode S03E11 of The Walking Dead! #TWD #tvtime https://tvtime.com/r/lySb pic.twitter.com/DLwWHZH3C0
975075041330200577,2,Check out NWT The Walking Dead Zombie Skull Long Sleeve Shirt Size XL #AMC #GraphicTee http://www.ebay.com/itm/-/183132562725?roken=cUgayN&soutkn=KldpI3 … via @eBay
975074814116450305,2,Acabei de assistir: S08E07 of The Walking Dead! #TWD #tvtime https://tvtime.com/r/lyRd pic.twitter.com/HAAG3mLk8f
975074591994466304,2,AMC Announces Survival Sunday: The Walking Dead & Fear the Walking Dead Fan Event #walkingedeadhttp://crwd.fr/2pjC663 
975074455377645568,2,I've just watched episode S08E10 of The Walking Dead! #tvtime https://tvtime.com/r/lyQt pic.twitter.com/2HZTaBGrX9
975074181275529216,2,Comey seems to have forgotten that the Marines have eyes on him right now...he literally is a dead man walking
975074066578190336,2,"@TheWalkingDead In celebration of St. Patrick’s Day, I watched Norman Reedus in The Boondock Saints. One of my favorite shows!"
975073804220272640,1,I like Southern thangs best. Including the Walking Dead.
975073758179454977,-1,When is the walking dead gonna end
975073734213193728,0,"I cannot stand that receding hairline, but his lack of loyalty is within the rules of the zombie world."
975073010016309248,2,the hunger games  x  the walking dead ... with the autobot logo
975072916244221952,2,We ended up walking 6 km on the beach and my feet got so burned...I’m dead tired and I want to go home to my Yuchi  pic.twitter.com/QrmXhqpmwd
975072841296211971,2,'The Walking Dead' !!
975072499036717057,1,"@WalkingDead_AMC Catching up with missed episodes. Carl just gave his Dad’s hat to Judith. For the record, I am NOT sobbing on the sofa. Allergies, I tell you. Allergies. Damn you Georgia in the spring! @chandlerriggs #honor #TheWalkingDead"
975072428601651200,1,i should be working out but i’ll just continue the walking dead season 2 cause i’m a lazy prick
975072379469750274,2,This is so life like...i thgt this was a picture when I saw it
975072221323513857,-1,I started binge watching the walking dead from season 1 in like January & I loved it up until the nigga Negan got introduced then I got bored with it
975072043451416577,2,"The Walking Dead Construction Set - Prison Tower & Gate, bigbadtoystore - DealsPlus - https://goo.gl/5riLcv  via @DealsPlus"
975071863423557634,2,you fear the walking dead because you are already a dead soul
975071590206582784,2,the walking dead https://twitter.com/thotmija/status/975070732446326788 …
975071541166669824,2,"We So Nerdy:  PREVIEW: ‘The Walking Dead’ Season Eight, Episode Twelve “The Key” http://dlvr.it/QLPgth pic.twitter.com/xwVKCdt6Ah"
975071218096377857,2,"It’s pretty good. I prefer it to walking dead. It’s by the same studio who makes the Sharknado movies, so it kind of follows that pattern to start with but it actually has a theme and story arcs flowing through it that really come into play by 2-3 seasons. Plus, it makes jokes pic.twitter.com/vmFwAFFUKz"
975071186966208512,2,Don't let your members trudge along on a treadmill like extras on “The Walking Dead.” http://bit.ly/2FDamzq 
975070973249671173,2, londoncapsule: Sneak Peek of The Walking Dead S08E12 https://tmblr.co/ZtQxzx2WABnOu 
975070953561567232,2,"Check out the Walking dead collection on our website, https://alottapajs.com/collections/walking-dead-collection … please click share"
975070910477582336,2,The Walking Dead/Fear the Walking Dead http://www.fathomevents.com/events/survival-sunday?utm_source=google&utm_medium=cpc&utm_campaign=the+walking+dead&utm_term=87am&utm_content=textad&gclid=EAIaIQobChMIvcHEjfnz2QIV2JJ-Ch0BYA5jEAAYASAAEgK64fD_BwE … #fathomevents via @fathomeventss
